SampleID,Lat,Long,pop
819,62.25,29.35,1
1090,61.8,28.8,2
1235,61.5,27.9,3
1262,62.2,28.3,1
1482,62.3,28.65,1
1488,61.5,28.15,3
1552,61.85,28.55,2
1956,62.15,29,1
1957,61.5,28.25,3
1977,61.65,29,2
1983,61.9,28.85,1
2119,61.65,29.25,2
2221,62,28.6,1
2232,62.25,28.25,1
2233,61.7,29.05,2
2259,61.4,27.7,3
2277,62.2,28.5,1
2327,61.45,28.3,3
2332,61.3,27.9,3
2333,61.95,28.8,1
2337,62.2,28.25,1
2340,62.15,28.95,1
2341,62.1,28.65,1
2342,62.25,28.35,1
2343,61.6,29.05,2
2348,62.3,28.7,1
2350,61.9,28.8,1
2352,62.2,29.2,1
2353,61.3,27.95,3
2354,61.35,27.9,3
2356,62.15,28.35,1
2357,61.5,28.2,3
2363,62.2,28.25,1
2375,61.8,28.6,2
2376,61.6,28.55,2
2377,62.15,28.75,1
2379,62,28.65,1
2380,62.2,28.25,1
2382,62,28.45,1
2383,61.8,28.6,2
2392,62.1,28.4,1
2393,62.2,28.6,1
2395,61.6,28.65,2
2396,61.9,28.7,1
2397,61.6,29.05,2
2399,62.3,28.7,1
2402,61.75,28.85,2
2404,61.85,28.85,2
2405,61.6,28.55,2
2411,61.35,28.2,3
2421,61.8,28.9,2
2422,62.1,28.4,1
2426,62.1,28.45,1
2427,61.8,28.75,2
2432,62.1,28.65,1
2433,62.15,28.55,1
2436,61.35,28.3,3
2440,61.9,28.75,1
2445,61.8,28.9,2
2449,61.35,27.8,3
2452,62.2,28.4,1
2454,62.15,28.65,1
2456,61.8,28.6,2
2472,61.65,29,2
2474,62.3,29.5,1
2477,61.7,28.95,2
2485,61.95,28.75,1
2496,61.65,29.25,2
2497,61.65,28.55,2
2499,62.2,28.8,1
2500,61.8,28.65,2
2501,62.4,29.45,1
2504,62.1,28.6,1
2506,61.95,28.65,1
2509,61.5,28.65,2
2511,62.1,28.4,1
2513,61.75,28.25,2
2514,61.75,28.9,2
2527,61.7,28.85,2
2528,61.8,29.3,2
2549,61.45,27.45,3
2550,61.6,29.1,2
2551,62.15,28.95,1
2555,61.3,28.15,3
2557,62.2,28.25,1
2563,61.8,29.3,2
2564,61.65,28.95,2
2565,61.65,28.55,2
2566,61.6,27.8,3
2567,61.75,28.9,2
2568,62.25,28.35,1
2569,61.75,28.9,2
2570,61.75,28.6,2
2572,61.65,28.85,2
2573,61.25,28.3,3
2574,61.65,29.15,2
2575,61.35,27.95,3
2585,62.15,28.3,1
